column,dtype,n_rows,missing_count,missing_percent,unique_count,duplicate_count,minimum,maximum,mean,median,std,skewness
Time,float64,284807,0,0.0,124592,160215,0.0,172792.0,94813.85957508067,84692.0,47488.14595456617,-0.0355676180063216
V1,float64,284807,0,0.0,275663,9144,-56.407509631329,2.45492999121121,1.1683749838001528e-15,0.0181087991615309,1.9586958038574858,-3.2806673027560405
V2,float64,284807,0,0.0,275663,9144,-72.7157275629303,22.0577289904909,3.416908049651284e-16,0.0654855563960555,1.6513085794769975,-4.624865573285336
V3,float64,284807,0,0.0,275663,9144,-48.3255893623954,9.38255843282114,-1.379536707896593e-15,0.179846343563544,1.516255005177772,-2.2401554402404193
V4,float64,284807,0,0.0,275663,9144,-5.68317119816995,16.8753440335975,2.0740951198584196e-15,-0.0198465294811989,1.4158685749409203,0.676292097985747
V5,float64,284807,0,0.0,275663,9144,-113.743306711146,34.8016658766686,9.604066317127324e-16,-0.0543358267364858,1.3802467340314395,-2.425901495952054
V6,float64,284807,0,0.0,275663,9144,-26.1605059358433,73.3016255459646,1.4873130132010145e-15,-0.274187076506651,1.3322710897575756,1.826580664998085
V7,float64,284807,0,0.0,275663,9144,-43.5572415712451,120.589493945238,-5.556467295694611e-16,0.0401030827945351,1.2370935981826663,2.553907417429514
V8,float64,284807,0,0.0,275663,9144,-73.2167184552674,20.0072083651213,1.2134813634275587e-16,0.0223580364366631,1.1943529026692037,-8.521944194777976
V9,float64,284807,0,0.0,275663,9144,-13.4340663182301,15.5949946071278,-2.4063305498905906e-15,-0.051428731550349,1.0986320892243193,0.5546797719063509
V10,float64,284807,0,0.0,275663,9144,-24.5882624372475,23.7451361206545,2.2390527426993533e-15,-0.0929173835961975,1.0888497654025169,1.1871405899625278
V11,float64,284807,0,0.0,275663,9144,-4.79747346479757,12.0189131816199,1.673326932726423e-15,-0.032757354499007,1.0207130277115584,0.35650585548882013
V12,float64,284807,0,0.0,275663,9144,-18.6837146333443,7.8483920756446,-1.2470117695222676e-15,0.140032588291332,0.9992013895301447,-2.278400935410618
V13,float64,284807,0,0.0,275663,9144,-5.79188120632084,7.12688295859376,8.190001274383203e-16,-0.0135680567852071,0.9952742301251534,0.06523345790658323
V14,float64,284807,0,0.0,275663,9144,-19.2143254902614,10.5267660517847,1.2072942051600827e-15,0.0506013193100486,0.9585956112570637,-1.9951758402683304
V15,float64,284807,0,0.0,275663,9144,-4.49894467676621,8.87774159774277,4.887455859804944e-15,0.0480715497626106,0.9153160116104391,-0.3084229821359239
V16,float64,284807,0,0.0,275663,9144,-14.1298545174931,17.3151115176278,1.4377159541859243e-15,0.0664133205843014,0.8762528873883703,-1.100966276051066
V17,float64,284807,0,0.0,275663,9144,-25.1627993693248,9.25352625047285,-3.7721706856547467e-16,-0.0656757538072252,0.8493370636743893,-3.8449144738706202
V18,float64,284807,0,0.0,275663,9144,-9.49874592104677,5.04106918541184,9.564149167014576e-16,-0.0036363123546992,0.8381762095288414,-0.25988026809430603
V19,float64,284807,0,0.0,275663,9144,-7.21352743017759,5.59197142733558,1.0399166050935636e-15,0.0037348229952574,0.8140405007685785,0.10919175998147104
V20,float64,284807,0,0.0,275663,9144,-54.497720494566,39.4209042482199,6.406203628719748e-16,-0.0624810924603664,0.7709250248871167,-2.037155299081399
V21,float64,284807,0,0.0,275663,9144,-34.8303821448146,27.2028391573154,1.654066907797022e-16,-0.0294501676953819,0.734524014371313,3.5929911930778453
V22,float64,284807,0,0.0,275663,9144,-10.933143697655,10.5030900899454,-3.568593220079729e-16,0.0067819425282695,0.7257015604409116,-0.21325762284328822
V23,float64,284807,0,0.0,275663,9144,-44.8077352037913,22.5284116897749,2.5786478972835623e-16,-0.0111929302967212,0.6244602955949903,-5.875140340106818
V24,float64,284807,0,0.0,275663,9144,-2.83662691870341,4.58454913689817,4.473265530947536e-15,0.0409760560572798,0.6056470678271602,-0.5524993011673045
V25,float64,284807,0,0.0,275663,9144,-10.2953970749851,7.51958867870916,5.340914685085768e-16,0.0165935016367397,0.5212780705409426,-0.4157925903156351
V26,float64,284807,0,0.0,275663,9144,-2.60455055280817,3.5173456116238,1.6834371984034178e-15,-0.0521391080182019,0.48222701326105727,0.5766926172084218
V27,float64,284807,0,0.0,275663,9144,-22.5656793207827,31.6121981061363,-3.6600908126037946e-16,0.0013421459786502,0.4036324949650307,-1.1702089424327133
V28,float64,284807,0,0.0,275663,9144,-15.4300839055349,33.8478078188831,-1.2273899954199695e-16,0.011243831564982,0.3300832641602509,11.19209119221281
Amount,float64,284807,0,0.0,32767,252040,0.0,25691.16,88.34961925093133,22.0,250.1201092401885,16.977724453761024
Class,int64,284807,0,0.0,2,284805,0.0,1.0,0.001727485630620034,0.0,0.04152718963546506,23.99757931064749
