array_index,row_id,cluster,Class_external_only,distance_to_cluster_centroid,robust_cluster_anomaly_score,anomaly_rank
172698,172698,1,0,61.45601252911371,49.981166975045724,1
206047,206047,1,0,39.13027481767835,30.457917359368494,2
89285,89285,1,0,33.64992885873459,25.665504068499995,3
208554,208554,1,0,33.103607343047756,25.187760781401085,4
75506,75506,1,0,27.77261849453291,20.525956216052382,5
216555,216555,1,0,26.087880705453813,19.052698901186226,6
209822,209822,1,0,22.92201383783618,16.284234543798256,7
161891,161891,1,0,20.694103493610644,14.335987622067844,8
204925,204925,1,0,20.568117668941433,14.225816449457762,9
73912,73912,1,0,19.865142804090564,13.611084074768938,10
214101,214101,1,0,19.625821586068536,13.40180418721661,11
108057,108057,1,0,17.453378481334106,11.502061855841694,12
41214,41214,1,1,17.348977111647965,11.410765701289224,13
10531,10531,1,0,16.998462227314093,11.104249980764775,14
215515,215515,1,0,15.97759949818962,10.211533326038959,15
209379,209379,1,0,15.578119215557484,9.86219869821281,16
80455,80455,1,1,15.544757046572315,9.833024390011374,17
220358,220358,1,0,15.444565566562554,9.745409669329923,18
4866,4866,1,0,14.91583628611884,9.283050312849051,19
38232,38232,1,0,14.751859655575652,9.139657215133287,20
217443,217443,1,0,14.698719982791445,9.093188018474669,21
22028,22028,1,0,14.352037674382183,8.790023781220977,22
10991,10991,1,0,14.18212642128169,8.641441017700725,23
209672,209672,1,0,14.135107535810356,8.600324282855379,24
101682,101682,1,0,13.980731880870932,8.46532697683479,25
202715,202715,1,0,13.942554028422327,8.43194148459357,26
109939,109939,1,0,13.758583761073396,8.271064495992368,27
111477,111477,1,0,13.538022631211366,8.0781897946289,28
160583,160583,1,0,13.377248469054761,7.937597168302063,29
152866,152866,1,0,12.72282493257353,7.365321608039027,30
205478,205478,1,0,12.598369198863676,7.256488458302828,31
39187,39187,1,0,12.298215999500087,6.994012659748678,32
77449,77449,1,0,12.237000722124835,6.940481566803972,33
121821,121821,1,0,12.210041338244135,6.916906319804713,34
197520,197520,1,0,11.957972138372261,6.69647866929971,35
144021,144021,1,0,11.953546128201495,6.6926082439421135,36
42331,42331,1,0,11.853949795067722,6.6055139629956505,37
153947,153947,1,0,11.628874497053737,6.4086917445209055,38
33593,33593,1,0,11.581951504764296,6.367658865651599,39
161092,161092,1,0,11.461503460370679,6.262330331078146,40
16360,16360,1,1,11.10136546558302,5.947399462534995,41
83061,83061,1,0,11.0783075693002,5.927235960188046,42
202233,202233,1,0,11.070632086265755,5.920523959306408,43
38756,38756,1,0,10.962156179645747,5.825664733170084,44
151950,151950,1,0,10.837921037425758,5.717024484684245,45
41583,41583,1,0,10.827996017533213,5.708345325083464,46
217786,217786,1,0,10.405055299508005,5.33849518542109,47
36278,36278,1,0,10.398898286463906,5.3331110451924175,48
149612,149612,1,0,10.336712545888872,5.27873130860883,49
14970,14970,1,0,10.301102147487633,5.247590985010698,50
192011,192011,1,0,10.225144404217147,5.181168007132854,51
88669,88669,1,0,10.155764390052733,5.120497074222212,52
42856,42856,1,0,9.990741545024036,4.9761890904311885,53
182176,182176,1,0,9.888744172192293,4.886995165658102,54
168666,168666,1,0,9.856133823133547,4.858478303507465,55
136800,136800,1,0,9.760461179869608,4.774815182495487,56
41831,41831,1,0,9.71064169761209,4.731249402031303,57
37871,37871,1,0,9.593973416269717,4.629226167309142,58
211100,211100,1,0,9.585251969186109,4.621599499352006,59
103205,103205,1,0,9.57925115054686,4.61635194687662,60
216460,216460,1,0,9.548082576915377,4.589095878072212,61
49588,49588,1,0,9.536776689815632,4.57920918770489,62
127428,127428,1,0,9.267424622392658,4.343668140203292,63
212447,212447,1,0,9.260174758145709,4.337328331360134,64
49870,49870,1,0,9.223768854060202,4.305492359705692,65
120829,120829,1,0,9.1929407890181,4.278534056389382,66
70037,70037,1,0,9.149894930306463,4.240891625245078,67
80113,80113,1,0,9.13366257546248,4.226696873001483,68
203619,203619,1,0,9.122154190263284,4.216633103560969,69
46537,46537,1,0,9.086220954266492,4.185210467277597,70
150185,150185,1,0,9.077948731612544,4.177976633850145,71
166969,166969,1,0,9.06485640508386,4.166527750853615,72
141469,141469,1,0,9.049923497938167,4.153469330233373,73
61382,61382,1,0,9.001070609228686,4.110748809503007,74
94044,94044,1,0,8.97428727468646,4.087327512855765,75
73137,73137,1,0,8.961011442693554,4.075718159328309,76
115928,115928,1,0,8.880036329121065,4.00490762776304,77
78588,78588,1,0,8.837412874486352,3.9676345774803714,78
64741,64741,1,0,8.830662962601407,3.9617319633622223,79
5605,5605,1,0,8.82226166869164,3.9543852606366485,80
76628,76628,1,0,8.799597565476049,3.9345661196025397,81
219079,219079,1,0,8.750970410990876,3.892042997303747,82
154451,154451,1,0,8.732883426403006,3.876226421857597,83
80750,80750,1,0,8.705577646437526,3.8523482609158517,84
144774,144774,1,0,8.694735448470015,3.8428670540666876,85
185725,185725,1,0,8.667134425447856,3.8187307111124453,86
150550,150550,1,0,8.635109907858316,3.790726142627258,87
70609,70609,1,0,8.565195303797067,3.729587725410707,88
149385,149385,1,0,8.499169026706019,3.6718495442359753,89
28294,28294,1,0,8.370770723310223,3.559568724680274,90
178622,178622,1,0,8.350287261652122,3.541656495301201,91
151072,151072,1,0,8.288720820947347,3.4878183195883126,92
35350,35350,1,0,8.226294271383354,3.4332280021020054,93
13149,13149,1,0,8.226288462059207,3.4332229220062485,94
88415,88415,1,0,8.164631660088984,3.3793057278275995,95
5222,5222,1,0,8.157672035035022,3.3732197252544154,96
195465,195465,1,0,8.140402405664105,3.358117904685864,97
73266,73266,1,0,8.067038617044544,3.2939632695072087,98
145850,145850,1,0,8.059141963697158,3.287057861210196,99
86715,86715,1,0,8.057376362715749,3.285513891235843,100
142346,142346,1,0,7.98882212794314,3.2255650799142876,101
58029,58029,1,0,7.963540756604112,3.2034572091841897,102
115909,115909,1,0,7.936191801389964,3.179541292663308,103
136487,136487,1,0,7.929214879725014,3.173440164674866,104
72823,72823,1,0,7.923525388496877,3.168464859541893,105
146110,146110,1,0,7.8232205875446,3.0807510427823646,106
149161,149161,1,0,7.800554173906132,3.060929881346372,107
181483,181483,1,0,7.799274804146685,3.0598111073337377,108
133822,133822,1,0,7.791296762494258,3.052834527180473,109
155783,155783,1,0,7.781175306505955,3.0439835895636382,110
11964,11964,1,0,7.777469788990694,3.0407432154115828,111
76912,76912,1,0,7.77465921559109,3.038285445516008,112
188985,188985,1,0,7.709121820172105,2.9809747780494273,113
11151,11151,1,0,7.677504531297206,2.9533263199848383,114
96655,96655,1,0,7.66450763359196,2.9419608868955223,115
201923,201923,1,0,7.647377154931591,2.926980749833753,116
75437,75437,1,0,7.629564032813484,2.911403659659115,117
190074,190074,1,0,7.564855786395608,2.8548180604131885,118
119374,119374,1,0,7.55614145699885,2.8471976166793627,119
14778,14778,1,0,7.530736727128874,2.8249818722734634,120
42294,42294,1,0,7.506008480318198,2.8033576938797697,121
196907,196907,1,0,7.487003059430198,2.786737970901596,122
31092,31092,1,0,7.463827824067394,2.766471858724781,123
166552,166552,1,0,7.447195205339601,2.7519270866154693,124
89236,89236,1,0,7.436778225844848,2.7428177217404497,125
192055,192055,1,0,7.404558403156294,2.714642364265059,126
23243,23243,1,0,7.388094365199687,2.7002450114490673,127
91786,91786,1,0,7.384752465099442,2.6973226108237873,128
